"Distrito","Ingresos_Total","Gastos_Total","Personal_Limpieza","Residuos_Solidos","Personal_Vigilancia"
"HUANIPACA",9937445.04,10016160.62,0,300,0
"LAMBRAMA",6477329,3886874.59,0,500,0
"PICHIRHUA",4477679.34,4402964.49,0,200,1
"SAN PEDRO DE CACHORA",3655905.04,3991800.04,0,500,0
"TAMBURCO",10469405.5,8018100.75,19,6000,0
"ANDAHUAYLAS",82205285.02,60195896.91,56,38000,4
"ANDARAPA",9832942.03,11695883.67,0,130,0
"CHIARA",2503179.69,2494311.24,0,350,0
"HUANCARAMA",5286093.45,5042841.86,1,1800,0
"HUANCARAY",4058338.26,3730734.7,0,300,0
"HUAYANA",3728468.56,3340413.79,1,100,0
"KISHUARA",10615927.77,9162045.36,0,500,0
"PACOBAMBA",4457583.05,3871922.67,0,2000,0
"PACUCHA",8204843.94,6873765.99,0,2000,0
"PAMPACHIRI",3817965.45,3547934.39,0,700,0
"POMACOCHA",1821004.06,1657845.81,0,360,0
"SAN ANTONIO DE CACHI",5072185.91,4011869.13,1,40,0
"SAN JERONIMO",24811708.85,19426539.24,7,10000,0
"SAN MIGUEL DE CHACCRAMPA",3437623.55,2883936.56,0,15,0
"SANTA MARIA DE CHICMO",9616939.5,5540025.74,0,1780,1
"TALAVERA",17828193.5,12170688.97,12,8000,1
"TUMAY HUARACA",5546225.86,6377018.04,1,430,0
"TURPO",11823416.39,12065020.52,0,500,0
"KAQUIABAMBA",2250262.64,2081904.8,0,120,0
"JOSÉ MARÍA ARGUEDAS",7980277.89,7374424.07,1,996,0
"ANTABAMBA",26500602.37,26920978.38,8,4500,2
"EL ORO",2021155.54,1470427,0,300,0
"HUAQUIRCA",6568338.92,5576426.77,3,48,0
"JUAN ESPINOZA MEDRANO",9652784.65,8730319.29,0,1920,0
"OROPESA",4742091.55,4312785.51,0,1000,0
"PACHACONAS",2467915.62,2357654.05,1,800,0
"SABAINO",4485156.85,3623082.95,0,200,0
"CHALHUANCA",10382784.3,10480390.02,2,2800,0
"CAPAYA",1628756.01,1755582.89,0,133,0
"CARAYBAMBA",2357755.76,1385322.75,0,100,0
"CHAPIMARCA",5277741.77,2843635.04,0,500,0
"COLCABAMBA",1437344.1,1533235.09,0,100,0
"COTARUSE",12789166.04,10551483.34,0,446,0
"IHUAYLLO",1986096.22,1423272.75,0,50,0
"JUSTO APU SAHUARAURA",3812668.1,2696549.08,0,123,1
"LUCRE",1925513.4,1981927.21,0,50,0
"POCOHUANCA",1645065.14,1398593.97,0,200,0
"SAN JUAN DE CHACÑA",1567084.64,1484596.58,0,100,0
"SAÑAYCA",1481756.2,1174849.02,0,200,0
"SORAYA",2928062.91,1230661.51,0,200,0
"TAPAIRIHUA",4204464.93,3364647.31,1,100,0
"TINTAY",3230565.8,2882889.15,0,200,1
"TORAYA",3078192.83,2435014.69,0,1234,0
"YANACA",3556292.47,3150523.46,0,50,0
"TAMBOBAMBA",82251435.87,74054141.78,0,4200,0
"COTABAMBAS",24302190.43,18363303.28,0,800,0
"COYLLURQUI",29850202.91,19984065.74,0,1000,0
"HAQUIRA",28518517.95,20661126.65,8,514,0
"MARA",23875944.18,18637093.93,0,500,0
"CHALLHUAHUACHO",188287318.84,154259453.35,0,9000,0
"CHINCHEROS",31143056.7,28902013.12,5,1150,2
"ANCO-HUALLO",10347436.01,7247481.49,6,5000,0
"COCHARCAS",3417047.77,3397889.78,0,400,0
"HUACCANA",19958122,18241477.07,0,5000,2
"OCOBAMBA",20068119.1,19832150.95,1,2000,0
"ONGOY",4262076.07,3636354.03,0,700,0
"URANMARCA",8552782.74,6750729.26,0,40,0
"RANRACANCHA",4923921.83,4660108.43,0,600,0
"ROCCHACC",7169287.95,7753507.84,0,499,0
"EL PORVENIR",6811563.85,4946043.65,0,718,0
"LOS CHANKAS",6666216.87,3264729.94,0,300,0
"CHUQUIBAMBILLA",15760847.81,17600124.96,0,4000,1
"CURPAHUASI",4914589.26,4024172.77,0,25,0
"GAMARRA",7297702.26,6094573.79,0,250,0
"HUAYLLATI",4122468.06,3427483.13,0,1101,0
"MAMARA",2448612.47,1723558.46,5,200,0
"MICAELA BASTIDAS",3310199.13,2723518.68,0,1000,0
"PATAYPAMPA",2342306.97,2187368.94,0,70,0
"PROGRESO",8689394.39,6988345.53,1,5240,0
"SAN ANTONIO",1184498.88,1060759.52,0,300,0
"SANTA ROSA",1979677.03,1916172,0,50,0
"TURPAY",2525494.66,1792930.18,0,96,0
"VILCABAMBA",3916088.97,3445506.77,0,400,0
"VIRUNDO",2787222.74,2486373.09,1,250,0
"CURASCO",5270279.43,4486099.32,0,120,0
"AREQUIPA",303656953.76,187097399.42,173,80000,109
"ALTO SELVA ALEGRE",104763615.36,54703628.05,58,52000,36
"CAYMA",115223500.29,61528153.78,88,53059,33
"CERRO COLORADO",300211116.77,152731991.5,177,156000,26
"CHARACATO",26065156.8,12282114.79,13,10500,8
"CHIGUATA",8552902.8,4377525.07,1,6000,0
"JACOBO HUNTER",51800557.18,28137475.14,114,38000,2
"LA JOYA",119700497.87,75059252.87,14,17063,27
"MARIANO MELGAR",59353000.67,33133549.61,49,52000,6
"MIRAFLORES",57192756.55,31818703.12,53,54340,43
"MOLLEBAYA",13447892.52,9377392.72,3,2000,0
"PAUCARPATA",127524280.33,72459003.32,93,61447,20
"POCSI",4214913.13,3154776.76,0,80,0
"POLOBAYA",5360548.2,3755119.02,2,2500,0
"QUEQUEÑA",14107476.22,4404712.11,0,2871,0
"SABANDIA",11510643.46,4097824.95,10,3800,1
"SACHACA",40211753.91,24051925.58,94,27630,19
"SAN JUAN DE SIGUAS",5432050.35,1529957.62,0,2100,0
"SAN JUAN DE TARUCANI",12809596.4,4873842.13,2,250,0
"SANTA ISABEL DE SIGUAS",10185100.03,5155230.98,0,13798.4666666667,0
"SANTA RITA DE SIGUAS",15828283.42,7565243.89,2,12000,1
"SOCABAYA",98424822.43,47153894.4,59,50645,8
"TIABAYA",71571722.77,24384199.72,30,6000,3
"UCHUMAYO",86617654.38,36271633.9,42,8360,0
"VITOR",17269584.22,12419618.52,4,1000,1
"YANAHUARA",25038288.57,22449912.51,103,24476,0
"YARABAMBA",363948108.36,79280941.76,3,569,1
"YURA",103759896.86,63307323.54,64,17000,17
"JOSE LUIS BUSTAMANTE Y RIVERO",57297809.46,39851844.35,156,1e+05,15
"CAMANA",50911133.17,54127540.62,51,14940,32
"JOSE MARIA QUIMPER",11948543.18,3075989.93,0,4000,0
"MARIANO NICOLAS VALCARCEL",21458474.98,8439392.34,0,15000,0
"MARISCAL CACERES",12468373.02,7629589.94,0,3500,0
"NICOLAS DE PIEROLA",19813035.02,14698893.6,0,8000,0
"OCOÑA",8793879.07,4868774.66,8,2500,0
"QUILCA",6020689.11,5481928.39,0,500,0
"SAMUEL PASTOR",31637904.85,13646239.33,12,12000,0
"CARAVELI",25720934.9,27014723.35,18,3282,1
"ACARI",8410990.89,5518371.92,5,3042,5
